first,second
1.0e-40,3.791150651975245588118170408596630310095142153824833970635945791031447980008636e-18
1.0e-45,6.175747817223082131499504063397597584256174653674829899675340969754985931930539e-20
1.0e-10,0.001962690390494338801193184026906485012425488131032369686121512706140942093297485
1.0e-20,6.346060832829123788789737087306199977885293169444061070781347250403076827693651e-09
1.0e-30,2.595308221466034654791177249023526023603375617175539632982657415615665703880905e-13
1.0e-35,1.881799888181046629525458897737482421030878710899150888942770768759431202492392e-15
1.0e-55,7.094055987809564160223005966635550125269084894007965521502604369943763180915538e-23
1.0e-50,1.269048929860312500493745553601438418086568922524136950350881998704081452609887e-21
1.0e-15,2.169039776433110108736318448978636116888449429294592895010539306041981170581193e-06
1.0e-5,0.4023914723579915612392245684699136009546764883120058648661065214322820286119848
1.0e-25,2.012291730667375664974520720619809640362824560708593850525435986315330413078948e-11
