first,second
1.0e-40,1.241016242210062377825841621832885163500055264247618375776523530621921154987447e-20
1.0e-45,2.420839092407917911915011281721396495568122555970646119889976420372852818334669e-22
1.0e-10,1.843451071183471499130403103948775991745781944579960761805642923751471313121782e-06
1.0e-20,1.886533378751204246055712416156449941382602026497169117254655764348126524616948e-11
1.0e-30,4.226143846932762183387154228937189325771125299113749662472865316591209061753179e-16
1.0e-35,2.203063933767132153892051497418481684560810958932398685745092666320253988702222e-18
1.0e-55,2.57270137294607355673704818841436184203226047602833316458030799073973482419066e-25
1.0e-50,3.734913801027468803018692873871577987565371999224201000277348583007491442403399e-24
1.0e-15,1.522880972164727831754649000427805154495830116156676637379949102530604802724282e-08
1.0e-5,0.001052041687390579005856765596991517996776730054624011137860711882285279304102048
1.0e-25,4.617760225787858812103273580137357137195440169998115291184987065613002335601682e-14
