first,second
1.0e-40,3.889122330121376739201277077889092425622210849052227362186451645875776854194366e-21
1.0e-45,3.24761178733778396356813292490082683790353044425387703398398574119715741534949e-23
1.0e-10,8.896430498393751500983712377817622391906346511156022213175132697624082727419599e-07
1.0e-20,8.730428640671003539125673120268071332865916346349537481678188649103581804474103e-12
1.0e-30,8.513001111074330836058614998737629942312209467892186524599554165969530005541511e-17
1.0e-35,1.826069756203863346649057024931312456866751846382408342984891386405506252887564e-19
1.0e-55,4.290673081541623652407377487833826726543545664384290531295495712449616810433941e-26
1.0e-50,6.530970414951703093607479046165952699674122494387298377973331503488302842998288e-25
1.0e-15,2.326867042153912884391844022338908060238364651672959252214183178548970756874226e-09
1.0e-5,0.0004618710016947669065869733775581139353675900250593962420128708351091491495049068
1.0e-25,2.313618957697176060294015355979195145118260549727155474032679374326376882574397e-14
