first,second
1.0e-40,7.698019963805950880062458341478416960070591210637659203799735991876766700130323e-20
1.0e-45,7.178586678057015446792699431917615053351578694758597790535586590836780089953021e-22
1.0e-10,2.912365671003943982699700996145922998580325694005869259929902454142611354140633e-05
1.0e-20,1.045887196318401151158836074916457944234479542705308233199309165438471308391262e-10
1.0e-30,2.000597732213906152840622692736747107810812561588921232619219629946887248853079e-15
1.0e-35,9.641152202823322474977291406549290607692122624158594393636394598342331247408806e-18
1.0e-55,2.711639507790721881876105796614644052582073385959766893934881545609815076676413e-24
1.0e-50,2.098362218782084884833238238922431926629790862405275894958275319162558276816412e-23
1.0e-15,1.138201727703091758631217714178889030980163237905619634277911094585210271262094e-07
1.0e-5,0.01203316200523887440784656680064229591757262799369421026393806147643006929384645
1.0e-25,9.801748715595769393744501985956255085783389042185993024540317590753818229747674e-13
