first,second
1.0e-40,7.97300004430141287198240342383997078236879547779194864153555978292054041463546e-17
1.0e-45,5.621924878829112757516101435963646014324626320929059336332802445497365136747453e-19
1.0e-10,0.005297443945911814575754036174186521911472781575432013774863972670374052879044253
1.0e-20,3.574654926242725227735750393400249464472094258403629365281108917873296477026974e-07
1.0e-30,6.122480967960722230760485855183291577219636081335131611002582327708093815745194e-12
1.0e-35,8.300664584439683708283722884218507069934819913899414616372226679472674129470369e-15
1.0e-55,8.65384417069243814770220004966351564250395976688159618718503145380100556209603e-23
1.0e-50,2.603627834396376041076895964940213271316145519646546023373232404686719109858225e-21
1.0e-15,9.262843976746444398928298653595769439013434360621300053671946864225559285519309e-05
1.0e-5,0.08332545382272505974552945849064568800062903973911621027377502151406660979947869
1.0e-25,7.290370869282220212237310771614164117451996301561839169586546728030130516142003e-10
