first,second
1.0e-40,1.108124575474044967463179302930488351018374330460331560736779044568296578248358e-16
1.0e-45,8.398799153763593114185776664793407423724422422445532156469453179134563062936289e-19
1.0e-10,0.01813788670346725903105595524836005917089981349521906382828755100107640011908652
1.0e-20,2.226378054836024252001544762907108076672154595761954167841775075718012282641999e-07
1.0e-30,3.718692295221925182336778822591586547698738754752458103144561834698062078016087e-12
1.0e-35,3.145567692132006976488958889121169582387502125137089109938335763768644374324632e-14
1.0e-55,3.144836220437093201213856080521006351348785558389738330208850550865036402199765e-22
1.0e-50,8.563160742986168161018881221838313126555334447319481614908162417984942007499796e-21
1.0e-15,3.11009633019490734659306684895974633254606659109491496746523643306903756456116e-05
1.0e-5,0.4490744127573853212596112884343178519308838890008434289116594450299523893555433
1.0e-25,8.907029477465067562816764675697589725285903739580680516394816207887211473013929e-10
